cat /var/idena-wrongwords/wrongwords_epoch166.csv
address,wrongWordsCount
0x1a920649691000eb468f88591862e0d5496bafda,4
0x798652604cc3c121715240ec8026bba697d8d13c,4
0xa3d9ed97762e7f01366dabd22e187860cf5a3e4b,4
0x661b13e6bc34e34429361891777164a7bfef6c49,4
0x2f44707f2dadd2650178113121694104e25f7a1f,4
0x94f90722672423f6e7084a5121bad60f1e8be6ca,3
0xb8c809d8143c722907d9097d6ef9933c048d99ed,3
0xf6b7809a5fc5887181c6826ecda973b3f963a7a4,3
0xe812f6d1b756dbcd198d60b92457258ccb28b62e,3
0xbca85e04fa953da49273cfcadeeea8ef19b63b2f,3
0xb5923b09126a875d838e1dd40d896202b36a655b,3
0x287901a34db59e906d40d78f43f3096e168ebe76,3
0x87224cec45420b01df76b12e1420874a1bd0ad1c,3
0x8a2eced9eaed45c03fd566d41ea95160bcb0ca75,3
0xef53c8cd904e9cfd7548e30797e827585903b446,3
0x1205eda752cccdc65fd94c18fd96102d46e89278,3
0x4ae59825651d492134fc67ed1dd459e4f006cf93,3
0xf849c8cd3fe7bc1ea8b4c041f495c0a9a9f5b31c,3
0x46726f292689ab03d2f6b164db11b3f44b581da3,3
0x5877e274ee92eb560776558bfbd75c28a2c8a270,3
0x85465a836fcbf8410b113aa1c1015a4e5d26d8be,3
0x146f0ab8b8b5f8cffffd32f4a6708cd6f38ff594,3
0x4e38736181c6b033964e7b0e35295bd56b72be36,3
0xf6fd616a38ebea08f2584969eb803b251947acfc,3
0x13f7565999f4e8fa28f7b6875479d19e1f61c379,3
0x4541eb2f80f6f3078517983022e8c3f478859289,3
0x868a44f52d14df763c33daca598359ade109148c,3
0x7271fe064581278e2577711f2a73e60f3f13c7eb,3
0x3a01223a022cedaba13e02b5b458f8c22eba49ea,3
0xba4d79cf20f81dd5cf21bf1815b40f7b5aec643e,3
0x1282e9b9201f7d9f29af39a2076f4e458b034a49,3
0x5d8a0c5a39097db479c68ccf9b178918fb236020,3
0xb4e74bd87c38e1016722b96683f44700d686ef67,3
0xda685ee31f4743fb9e07f726887970b0a1d82770,3
0x46c5c83b04c596437df6ad66121f3192cf4c786a,3
0x680b8a96c20532c3989822b5a30fc08ec5b3a7f1,3
0x31d40848f29066abd4ab69e9c0e62f752c21992b,3
0xf5cc24b1235b6cea9155e1135d3e891ab8dac8fa,2
0x1fd37d8e761560deef75e408229e0a29ce1fcdb8,2
0x67599bef2202f4b927e5698a44dbaf658525c95d,2
0x7004fcc4a55822a6d24dc7a18308db42b4b3a36b,2
0x35c6efbb1f40e3633709fd2fb4ce46250b0920be,2
0xc46a60740b653995ca53d9bc6ff0e0d51b32f6d9,2
0xc4ac7003a22105fabc418fa6a0744511d28c2041,2
0x7f06c13ae7446c8a397ab8448ae408c4be80448f,1
0x6fd968ebe6b3c4a2e171d2012271b6fb606e30f1,1
0x31b28fce68e99ef404077ace148a009cf96a1bf7,1
0x3aa7baca497a1b5cecf977ceb4b63270fdc32c4b,1
0x99df9941b80e6e782eb2a8ab8a8e1ca82f3c85cb,1
0x747f282a767f7a1da80fcb0343e8e3859e2f3526,1
0xf8b2a05f5fc533fc8b1cf4f3068e84959309a2cb,1
0x4a14580d8edcfa8806f5f839e110288ad1424a4b,1
0x1e6b75200b8077ef1b300f3b94ddaded3a54e4b2,1
0x1dcc7fec3286ddca818459317feaf6b58e254d5c,1
0x2aee63fb61ee328f8353d5fdc8a4f16ec16d2bca,1
0xc14b7806d437e2d5cfa47732daad7ce74a83d923,1
0xb6db6f99547e43ed0866f8d2827866a28cf8aabd,1
0xf8ea62b03f78db69693b5192e0d6dab8fe3764f4,1
0xc70c9327be7f13bf18651c2a2fbe26a69aee0c8c,1
0x9c50cb3f06bc168ad333be5a56e8a337998a63a9,1
0x79d785bb20252ab182c6b24f30a31f4af4230b7a,1
0xaa6aeab943214c67743156c4112978e67d54ead7,1
0x8eecf5c1de0c27065d8ab7075405c2efed6e1ce2,1
0x0b3cd7ee2ee84846a86d212febc20637132302e4,1
0x2295b79cc48671e4464ec3287a8c2a553ee18cb6,1
0x8b7cbb857d55d321aa276dd58b9fa155eca33d08,1
0x68038d4d0b152446e812809d6d773e3ca5c0edaa,1
0xb49f4a2cc394d74ad293d3a1900c70e2a32e3a55,1
0x03fb26c41564ac8a030f6db823e7d34574903f3e,1
0xaee375b208fe13eaedd818cb6f847afb3707fd1e,1
0xafa56a9f2a2c87839760a663b33771f48c311077,1
0x1cd1c501ae013cafe7ac9a4462f157db89f51f96,1
0x9f409e0a49a2be7765fe505e603e1ba9af372a87,1
0x21df351884da583ba043997a71ab60b6182b5e58,1
0xc36f47a34f3d1da3ead1ed61b172625533dc7de2,1
0xdb46f448f8349e85395ca9010b8693e2469927e9,1
